geneID	symbol	Pre-infection_1	Pre-infection_2	Pre-infection_3	Pre-infection_4	Post-infection_1	Post-infection_2	Post-infection_3	Post-infection_4
67088	Cand2	214.5133	250.3636	230.0948	185.6595	270.5299	359.2556	325.1952	311.143
99439	Duox1	43.1769	32.8647	37.8422	33.9782	36.3084	60.3967	39.5379	54.7651
217708	Lin52	2094.3635	1968.8873	2128.0073	1873.3734	3169.4238	1905.2648	2283.0457	4033.4602
70693	Gpr125	3437.7358	3836.6921	3655.6367	3345.4463	1699.2848	3118.3464	2221.275	2441.8298
67933	Hcfc2	342.3621	318.3137	389.2111	299.3703	256.5809	397.1006	320.8173	349.8159
239530	Gpr20	146.1678	42.3515	169.5419	31.8209	48.5097	63.8627	68.8888	56.6495
54380	Smarcal1	2206.9958	2185.6162	2206.618	2090.756	1812.6708	2133.2507	2034.391	2049.0454
11739	Slc25a4	48722.965	47886.26	49362.19	46148.027	49486.406	60839.6	64586.402	54292.457
73804	Kif2c	22.4869	23.2736	18.6773	22.5722	262.6426	275.5439	249.6377	286.3348
13191	Dctn1	34568.91	33935.297	32205.287	32239.75	27649.408	32265.59	30421.752	31168.79
67095	Trak1	383.7288	148.7341	137.2606	121.2873	105.217	122.4578	104.3319	139.4389
106338	Nsun3	51.5631	19.4632	9.7597	7.6692	12.3981	9.3537	13.9402	11.2071
68520	Zfyve21	9036.099	9175.483	7951.752	7337.874	2843.409	5200.9507	4237.8677	4649.932
67070	Lsm14a	7282.1255	7079.265	7426.2417	6737.838	6867.114	7333.2725	7336.448	7240.706
73694	2410091C18Rik	3605.6387	3677.9216	3333.3826	3166.781	2926.3699	3916.7698	3380.1594	3573.1467
73247	1600027N09Rik	870.6783	846.2664	833.1231	768.971	637.4414	783.7306	783.7958	809.3419
232785	Zfp783	514.0721	422.1232	333.142	227.5123	403.6058	364.7818	377.6741	383.4854
22273	Uqcrc1	6746.1543	7336.875	6376.942	6581.9766	6967.0566	8638.235	9239.013	9393.176
67797	Snrnp48	1658.0048	1438.8607	1585.719	1716.7876	1436.1687	1559.2866	1411.2987	1784.9054
353211	Prune2	64.9906	34.2887	4.6209	5.8013	23.8515	10.7527	36.9538	6.0507
230119	Zbtb5	2119.895	2469.5474	1973.4492	2401.446	2276.922	2310.7427	2480.9258	2580.3296
246735	AY074887	102.5986	72.2555	27.8819	9.936	19.2012	18.8212	27.8535	18.8687
20348	Sema3c	15279.262	17569.033	13233.079	19276.459	8307.155	16073.462	8833.161	12254.842
380842	Gm1574	632.338	875.1514	581.1093	680.6577	414.5135	320.7482	192.672	327.5083
218639	Arl15	6607.3477	7363.759	5501.294	7281.3315	3246.703	5370.4106	3947.783	4829.766
64095	Gpr35	37.6555	62.9178	88.6458	34.159	19.2214	29.9139	24.9137	33.2716
226026	Smc5	3085.1084	3351.578	2884.7817	2942.1196	4462.7676	3962.9216	5268.3984	4365.679
19229	Ptk2b	734.8534	627.692	736.4266	599.2434	925.6368	813.1999	992.127	1046.6005
170731	Mfn2	1214.1334	1144.6791	1035.1356	907.9124	782.3697	1117.3881	997.8208	1107.0151
11641	Akap2	8523.357	11266.875	6422.109	9287.602	4704.6167	6993.431	6174.8276	5140.5576
69221	2410006H16Rik	3617.4202	3920.5674	3949.315	3997.5042	6150.556	5004.9263	6793.0605	5385.523
385674	Zfp174	73.9309	55.8695	41.5993	33.7056	36.4301	43.5739	44.1956	31.2713
214944	Mobkl2b	233.307	312.1494	287.8104	260.9444	208.6271	305.4096	221.5599	303.7821
17463	Psmd7	5199.3076	5779.3506	5178.07	5394.2524	5332.3936	6163.4414	5976.673	6554.129
71300	Rnf148	42.8244	27.8018	34.1881	10.6899	17.4638	17.5182	22.181	22.6094
15260	Hira	1402.4609	1193.7845	1087.5287	1094.9738	805.2131	1207.7681	1134.8943	1065.9868
